call_id,actor_id,partner_id,speech_activity_actor,speech_activity_partner,tfo_actor,tfo_partner,overlap_actor,overlap_partner,pauses_actor,pauses_partner,my_turn_length_actor,my_turn_length_partner,your_turn_length_actor,your_turn_length_partner,conv_length_actor,conv_length_partner,turn_overlap_gap_actor,turn_overlap_gap_partner,topic_diversity_actor,topic_diversity_partner,speak_quickly_actor,speak_quickly_partner,you_total_talk_time_actor,you_total_talk_time_partner,how_enjoyable_actor,how_enjoyable_partner,conversationalist_actor,conversationalist_partner,conv_leader_actor,conv_leader_partner,i_like_you_actor,i_like_you_partner,you_like_me_actor,you_like_me_partner,in_common_actor,in_common_partner,smiles_actor,smiles_partner,laughter_actor,laughter_partner,questions_actor,questions_partner,nods_actor,nods_partner,verbal_feedback_actor,verbal_feedback_partner,you_are_intelligent_actor,you_are_quickwitted_actor,you_are_competent_actor,you_are_kind_actor,you_are_friendly_actor,you_are_warm_actor,you_are_humble_actor,you_are_giving_actor,you_are_fair_actor,you_are_trustworthy_actor,you_are_agreeable_actor,you_are_playful_actor,you_are_polite_actor,you_are_intelligent_partner,you_are_quickwitted_partner,you_are_competent_partner,you_are_kind_partner,you_are_friendly_partner,you_are_warm_partner,you_are_humble_partner,you_are_giving_partner,you_are_fair_partner,you_are_trustworthy_partner,you_are_agreeable_partner,you_are_playful_partner,you_are_polite_partner,i_disclosed_actor,i_disclosed_partner,you_disclosed_actor,you_disclosed_partner,i_am_good_listener_actor,i_am_good_listener_partner,you_are_good_listener_actor,you_are_good_listener_partner
dd9b5c4a-19cb-4af3-b0e8-f1ce12c5b8fe,5f582002dff3f038d1eb83c4,5e97478f8b670f09dad1fd02,0.453,0.36,0.246,0.158,0.019,0.03,0.198,0.134,7.0,6.0,5.0,5.0,32.0,30.0,5.0,5.0,3.0,6.0,1.0,5.0,40.0,45.0,6.0,9.0,60.0,87.0,1.0,5.0,5.0,7.0,3.0,6.0,8.0,8.0,1.0,5.0,1.0,5.0,9.0,5.0,5.0,5.0,1.0,4.0,8.0,3.0,9.0,6.0,7.0,6.0,5.0,6.0,5.0,5.0,8.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,6.0,3.0,6.0,9.0,6.0,4.0,8.0
dd9b5c4a-19cb-4af3-b0e8-f1ce12c5b8fe,5e97478f8b670f09dad1fd02,5f582002dff3f038d1eb83c4,0.36,0.453,0.158,0.246,0.03,0.019,0.134,0.198,6.0,7.0,5.0,5.0,30.0,32.0,5.0,5.0,6.0,3.0,5.0,1.0,45.0,40.0,9.0,6.0,87.0,60.0,5.0,1.0,7.0,5.0,6.0,3.0,8.0,8.0,5.0,1.0,5.0,1.0,5.0,9.0,5.0,5.0,4.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,3.0,9.0,6.0,7.0,6.0,5.0,6.0,5.0,5.0,8.0,5.0,9.0,6.0,3.0,6.0,3.0,6.0,9.0,8.0,4.0
dbe27cbe-5693-4994-b281-d481a5a4e1f0,5f5ce7f940a2614f6cb6e747,5f4bc3259e842579bf1a8b0a,0.416,0.399,0.33,0.152,0.066,0.058,0.18,0.167,5.0,5.0,5.0,5.0,28.0,29.0,6.0,5.0,4.0,5.0,4.0,5.0,55.0,45.0,5.0,9.0,72.0,86.0,2.0,5.0,6.0,7.0,4.0,7.0,2.0,6.0,5.0,5.0,6.0,6.0,3.0,7.0,5.0,4.0,5.0,5.0,9.0,4.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,5.0,6.0,5.0,6.0,9.0,9.0,8.0,9.0
dbe27cbe-5693-4994-b281-d481a5a4e1f0,5f4bc3259e842579bf1a8b0a,5f5ce7f940a2614f6cb6e747,0.399,0.416,0.152,0.33,0.058,0.066,0.167,0.18,5.0,5.0,5.0,5.0,29.0,28.0,5.0,6.0,5.0,4.0,5.0,4.0,45.0,55.0,9.0,5.0,86.0,72.0,5.0,2.0,7.0,6.0,7.0,4.0,6.0,2.0,5.0,5.0,6.0,6.0,7.0,3.0,4.0,5.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,4.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,6.0,9.0,9.0,6.0,5.0,6.0,5.0,9.0,9.0,9.0,8.0
3edbfb87-6b83-4dd0-a4d8-09ca1eba6a3e,5de855017d44177cafe19840,5f7357ed17b7c1054311b85b,0.373,0.414,0.137,0.272,0.014,0.019,0.243,0.154,4.0,7.0,6.0,3.0,27.0,28.0,3.0,5.0,4.0,5.0,7.0,3.0,55.0,30.0,5.0,5.0,50.0,30.0,9.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,3.0,9.0,1.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,3.0,7.0,5.0,3.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,6.0,6.0,2.0,7.0,6.0,3.0,6.0,4.0,7.0,6.0,6.0,6.0
3edbfb87-6b83-4dd0-a4d8-09ca1eba6a3e,5f7357ed17b7c1054311b85b,5de855017d44177cafe19840,0.414,0.373,0.272,0.137,0.019,0.014,0.154,0.243,7.0,4.0,3.0,6.0,28.0,27.0,5.0,3.0,5.0,4.0,3.0,7.0,30.0,55.0,5.0,5.0,30.0,50.0,3.0,9.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,3.0,5.0,1.0,9.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,6.0,6.0,2.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,3.0,7.0,3.0,6.0,4.0,6.0,6.0,7.0,6.0,6.0
0aff0afe-6552-4f0d-a868-265e51c25bf2,5dbc46b70338051eb7999760,5f00cc127086ce2029ae6541,0.428,0.344,0.057,0.236,0.078,0.173,0.103,0.351,5.0,4.0,4.0,6.0,27.0,27.0,5.0,5.0,5.0,5.0,4.0,4.0,40.0,50.0,9.0,9.0,69.0,88.0,4.0,4.0,7.0,7.0,7.0,7.0,9.0,8.0,5.0,5.0,3.0,5.0,5.0,2.0,5.0,6.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,7.0,8.0,8.0,8.0,9.0,9.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,7.0,8.0,9.0,8.0,9.0,8.0
0aff0afe-6552-4f0d-a868-265e51c25bf2,5f00cc127086ce2029ae6541,5dbc46b70338051eb7999760,0.344,0.428,0.236,0.057,0.173,0.078,0.351,0.103,4.0,5.0,6.0,4.0,27.0,27.0,5.0,5.0,5.0,5.0,4.0,4.0,50.0,40.0,9.0,9.0,88.0,69.0,4.0,4.0,7.0,7.0,7.0,7.0,8.0,9.0,5.0,5.0,5.0,3.0,2.0,5.0,6.0,5.0,5.0,5.0,8.0,8.0,8.0,9.0,9.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,7.0,8.0,6.0,8.0,7.0,8.0,9.0,8.0,9.0
7a9841f0-c22d-48c5-a469-5ab0b4a4f9e4,5f07ec0ec025b5421c3e3379,5f7357ed17b7c1054311b85b,0.264,0.51,0.367,0.495,0.042,0.018,0.187,0.164,7.0,7.0,6.0,3.0,26.0,25.0,7.0,3.0,5.0,5.0,5.0,3.0,45.0,45.0,9.0,3.0,98.0,19.0,5.0,4.0,6.0,4.0,6.0,4.0,9.0,5.0,7.0,3.0,9.0,3.0,9.0,4.0,5.0,5.0,6.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,7.0,8.0,9.0,8.0,8.0,5.0,5.0,6.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,4.0,3.0,5.0,6.0,2.0,6.0,2.0,5.0,4.0,6.0,4.0
7a9841f0-c22d-48c5-a469-5ab0b4a4f9e4,5f7357ed17b7c1054311b85b,5f07ec0ec025b5421c3e3379,0.51,0.264,0.495,0.367,0.018,0.042,0.164,0.187,7.0,7.0,3.0,6.0,25.0,26.0,3.0,7.0,5.0,5.0,3.0,5.0,45.0,45.0,3.0,9.0,19.0,98.0,4.0,5.0,4.0,6.0,4.0,6.0,5.0,9.0,3.0,7.0,3.0,9.0,4.0,9.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,4.0,3.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,7.0,8.0,9.0,8.0,8.0,2.0,6.0,2.0,6.0,4.0,5.0,4.0,6.0
